tconst,ordering,nconst,category,job,characters
tt14866942,7,nm12638896,self,\N,"[""Self - Contestant""]"
tt1591857,6,nm0082261,writer,dialogue writer,\N
tt5045062,2,nm0796606,actor,\N,"[""Nikita Kudasov""]"
tt10089250,10,nm0438471,writer,developed by,\N
tt16419548,4,nm0553445,actor,\N,"[""Lorenzo Ilustre""]"
tt3066808,2,nm0355910,actor,\N,"[""Leonard Swett""]"
tt4823402,5,nm10523155,director,\N,\N
tt13966002,1,nm5042664,self,\N,"[""Self"",""Presenter""]"
tt21191256,10,nm13806788,self,\N,"[""Self""]"
tt11485440,5,nm10922069,director,\N,\N
tt18044084,1,nm9637748,actor,\N,\N
tt19793694,4,nm1390361,self,\N,"[""Self - Associate Editor, The Spectator""]"
tt3262012,7,nm0258268,writer,adr writer: Sony Samurai X dub,\N
tt4631038,1,nm0319880,self,\N,"[""Self - Hostess""]"
tt2261299,6,nm2377131,actress,\N,\N
tt0998993,3,nm0645392,producer,producer,\N
tt2982800,5,nm5731029,director,\N,\N
tt2029334,2,nm1422904,self,\N,"[""Self - Hostess""]"
tt6283950,3,nm1471882,actor,\N,\N
tt12470650,6,nm1894965,writer,head writer,\N
tt7638214,1,nm9422510,actor,\N,\N
tt0530336,5,nm0946391,director,\N,\N
tt5729356,10,nm3716110,self,\N,"[""Self - Performer""]"
tt14153584,8,nm2530284,producer,producer,\N
tt10350558,2,nm0002015,self,\N,"[""Self""]"
tt6990528,5,nm2975256,director,\N,\N
tt0448205,9,nm0790456,production_designer,\N,\N
tt15734370,4,nm13393220,actor,\N,"[""Sujono""]"
tt21862424,3,nm1165110,self,\N,"[""Self - Thor""]"
tt2762726,2,nm5304830,actress,\N,"[""Tara""]"
tt15228446,2,nm4000792,actor,\N,\N
tt0906590,7,nm1016768,editor,\N,\N
tt0964408,2,nm0649638,actress,\N,"[""Esperanza Muñoz - La Monita""]"
tt28420594,7,nm0704359,actress,\N,\N
tt10561098,1,nm1688987,actor,\N,"[""Sifis Giannakakis""]"
tt29518744,2,nm14965498,actor,\N,"[""Audience Member #1""]"
tt14978478,4,nm1130096,director,\N,\N
tt22376580,1,nm1734745,actor,\N,\N
tt17521672,7,nm2421773,writer,"based on the manga ""Kami No Shizuku"" by",\N
tt8218000,9,nm0704115,writer,script,\N
tt0329310,3,nm0602905,actor,\N,"[""The Harem Keeper""]"
tt1114923,6,nm0723665,writer,\N,\N
tt15245762,3,nm12854033,writer,\N,\N
tt17492466,1,nm4745892,actress,\N,\N
tt13725096,2,nm0713073,self,\N,"[""Self - Announcer""]"
tt4723188,1,nm0005717,director,\N,\N
tt0105758,5,nm0317230,director,\N,\N
tt21093628,5,nm8407663,actress,\N,"[""Laxmi""]"
tt21966890,10,nm2218739,writer,\N,\N
tt15101964,7,nm2533090,actor,\N,"[""Ruy""]"
tt3650922,6,nm6409699,actor,\N,\N
tt21085682,6,nm2627990,self,\N,"[""Self - Panelist""]"
tt2768594,2,nm2171898,actress,\N,"[""Katrine Fønsmark""]"
tt18450900,1,nm3565542,actress,\N,"[""Mrs. Jacobs""]"
tt2711392,2,nm1463161,self,\N,"[""Self - Host""]"
tt11622762,8,nm0089887,editor,\N,\N
tt4745828,4,nm1098505,writer,composition,\N
tt1787252,9,nm0428478,actress,\N,"[""Margaret Jones""]"
tt11387258,3,nm0478680,actor,\N,"[""Emiliano Solís""]"
tt3736660,4,nm1159300,actress,\N,"[""Shipra Sharma""]"
tt14216268,9,nm0666436,editor,\N,\N
tt18347592,2,nm2428244,writer,\N,\N
tt27504348,6,nm1506101,writer,\N,\N
